Customer ID,Recency,Frequency,Monetary,Segment
12346,370,11,372.86,Mid
12347,24,5,3279.67,High
12348,90,4,1469.3999999999999,High
12349,249,3,2421.14,High
12350,151,1,334.40000000000003,Mid
12351,216,1,300.93,Mid
12352,103,7,1249.06,High
12353,45,2,406.76,Mid
12354,73,1,1079.4,High
12355,55,2,947.61,Mid
12356,86,5,5010.33,VIP
12357,230,1,6909.990000000001,VIP
12358,217,3,1828.01,High
12359,30,9,5769.09,VIP
12360,42,6,2674.41,High
12361,128,4,511.25,Mid
12362,67,3,1104.34,High
12363,83,1,299.1,Mid
12365,132,1,320.69,Mid
12366,475,1,500.24,Mid
12368,469,1,917.7,Mid
12369,254,3,1791.15,High
12370,115,6,3581.03,High
12371,250,3,1939.42,High
12372,54,2,914.9200000000001,Mid
12373,152,3,1127.65,High
12374,262,3,2246.29,High
12376,230,2,503.15,Mid
12377,156,4,3426.32,High
12378,403,1,1407.7,High
12379,11,3,1227.82,High
12380,27,7,6050.39,VIP
12383,26,5,1850.56,High
12385,220,1,1668.4,High
12386,178,2,660.8000000000001,Mid
12387,256,1,143.94,Low
12388,116,5,1886.7,High
12389,243,3,1229.33,High
12391,305,5,2312.53,High
12392,432,1,234.75000000000003,Mid
12393,87,5,1877.95,High
12394,58,1,381.08,Mid
12395,3,10,3782.26,High
12396,515,1,931.4300000000001,Mid
12399,24,6,1752.68,High
12400,255,1,205.25,Mid
12401,144,1,84.3,Low
12402,164,6,1256.9,High
12403,362,1,103.5,Low
12404,523,1,63.24,Low
12406,25,4,4306.31,High
12407,76,2,495.96,Mid
12408,17,6,2943.9900000000002,High
12409,23,5,17120.5,VIP
12410,150,3,1013.71,High
12411,251,1,346.9,Mid
12412,10,4,1884.55,High
12413,77,3,805.25,Mid
12414,58,6,952.4100000000001,Mid
12415,18,14,37339.33,VIP
12416,498,1,202.56,Mid
12417,28,16,5066.08,VIP
12418,255,3,1352.62,High
12419,227,2,503.01,Mid
12421,14,4,688.36,Mid
12422,9,14,4025.65,High
12423,33,8,2214.77,High
12424,3,4,3034.0299999999997,High
12425,289,1,964.21,Mid
12426,35,2,1345.21,High
12427,213,1,607.0,Mid
12428,84,5,5359.34,VIP
12429,13,7,6328.39,VIP
12431,42,19,6902.650000000001,VIP
12432,13,2,3316.66,High
